market name,district name,latitude,longitude
Aiginia Mandi,khurda,20.1531141,85.7076331
Angaura,angul,21.102538,84.9536825
Angul,angul,20.8602508,85.1021043
Angul(Atthamallick),angul,21.102538,84.9536825
Angul(Jarapada),angul,20.9106337,85.0105931
Attabira,bargarh,21.4468176,83.7671747
Balugaon,khurda,20.1531141,85.7076331
Bargarh,bargarh,21.3477634,83.657683
Bargarh(Barapalli),bargarh,21.2319922,83.5652737
Bhadrak,bhadrak,21.0633288,86.5053731
Bhanjanagar,ganjam,20.0209157,84.4864172
Bhawanipatna,kalahandi,19.9104952,83.1678321
Champua,keonjhar,21.5,85.5
Chandabali,bhadrak,20.8287719,86.7477946
Chatta Krushak Bazar,kendrapara,20.5475164,86.5296168
Damana Hat,khurda,20.1531141,85.7076331
Dhenkanal,dhenkanal,20.6767247,85.5901721
Digapahandi,ganjam,19.3345967,84.5805408
Godabhaga,bargarh,21.4188842,83.8349318
Gopa,kendrapara,20.5475164,86.5296168
Hindol,dhenkanal,20.6381058,85.2128553
Hinjilicut,ganjam,19.485655,84.7442693
Jajpur,jajpur,20.8522696,86.3385714
Jatni,khurda,20.1539194,85.7172706
Jharsuguda,jharsuguda,21.8770513,84.0090506
Junagarh,kalahandi,19.8137068,82.946796
Kalahandi(Dharamagarh),kalahandi,19.8265757,83.0408702
Kamakhyanagar,dhenkanal,20.9329215,85.5416343
Kendrapara,kendrapara,20.5042089,86.4159937
Kendrapara(Marshaghai),kendrapara,20.5475164,86.5296168
Keonjhar,keonjhar,21.6347428,85.599027
Keonjhar(Dhekikote),keonjhar,21.5,85.5
Keonjhar(Jhumpura),keonjhar,21.5,85.5
Kesinga,kalahandi,20.1906391,83.2227735
Khariar,nuapada,20.2700878,82.7478876
Khariar Road,nuapada,20.9013244,82.5109747
Kuchinda,sambalpur,21.7477388,84.3506401
Mottagaon,dhenkanal,20.8351494,85.6022305
Nimapara,puri,20.0668733,85.990804
Pattamundai,kendrapara,20.5626441,86.5908069
Rayagada,rayagada,19.1753646,83.41068
Saharpada,keonjhar,21.5,85.5
Talcher,angul,20.9458183,85.2111736
Bahadajholla,nayagarh,20.2393682,85.050728
Banki,cuttack,20.3924025,85.605338
Koraput,koraput,18.8499648,82.7800661
Koraput(Semilguda),koraput,18.7232023,82.6100596
Sahidngar,bhadrak,20.9854052,86.5934226
Sarankul,nayagarh,20.0099679,85.1381725
Gunpur,rayagada,19.4426698,83.5873053
Kasinagar,gajapati,18.8570047,83.8781165
Malkanagiri,malkangiri,18.2744685,81.9520316
Malkangiri(Korakunda),malkangiri,18.2744685,81.9520316
Padampur,bargarh,20.9993052,83.06324
Parlakhemundi,gajapati,18.785724,84.0816192
Rayagada(Muniguda),rayagada,19.4426698,83.5873053
Sohela,bargarh,21.3105259,83.3667022
